id,name,address,locality,latitude,longitude,cuisines,average_cost_for_two,aggregate_rating,rating_text,votes,all_reviews_count,photo_count,has_online_delivery
3701092,Abi's,"112, Senthamarai Street, Muthialpet, Puducherry, Muthial Pet, Puducherry",Muthial Pet,11.9517684,79.83034585,South Indian,500,2.6,Average,6,2,2,0
3701104,Nagas,"Providence Mall, Cuddalore Road, Orleanpet, Puducherry, MG Road, Puducherry","Providence Mall, MG Road",11.92889051,79.82037641,Andhra,450,2.6,Average,7,2,3,0
3700035,Mayura,"Hotel Ram International, 398, Anna Salai, Heritage Town, Puducherry",Heritage Town,11.93391499,79.82393134,"North Indian, Chinese",1000,2.6,Average,11,6,14,0
3700334,Hotel Buhari,"175, MMA Salai, MG Road, Puducherry",MG Road,11.9318356,79.81560174,"Biryani, South Indian, Chinese, North Indian",350,2.5,Average,4,3,4,0
3700069,Le Cafe,"Beach Road, Near Gandhi Statue, White Town, Puducherry",White Town,11.93159679,79.83566064,Cafe,450,2.3,Poor,1589,1058,1250,0
3700026,Sea Gulls Restaurant,"19, Rooftop, Dumas Street, Port Road, White Town, Puducherry",White Town,11.92437145,79.83383037,"Continental, North Indian, Italian, Seafood",1000,2.1,Poor,256,157,101,0
3700161,Madame Shanthe's,"41A, Romain Rolland Street, Near Studio Profile, White Town, Puducherry",White Town,11.9285628,79.83365703,"Continental, Chinese, North Indian",640,2,Poor,478,287,148,0
3700769,Aash Restuarant,"Puducherry - Vilupuram Road, Kavery Nagar, Thanthai Periyar Nagar, Villianur, Puducherry",Villianur,11.931171,79.80086401,South Indian,300,0,Not rated,0,0,0,0
3700702,Amutham,"10, Villianur Main Road, Reddiarpalyam, Villianur, Puducherry",Villianur,11.93135,79.80041389,Fast Food,150,0,Not rated,0,0,2,0
3700212,Nalas,"46-A, Pavazha Nagar, Villianur Main Road, Villianur, Puducherry",Villianur,11.93142687,79.80215415,"South Indian, Chinese",200,0,Not rated,3,0,3,0
3701064,Hotel Manikandan,"Ajeesh Nagar, Villianur Main Road, Villianur",Villianur,11.93122578,79.80003353,"South Indian, Chinese",200,0,Not rated,0,0,2,0
3700241,Hyderabad Biryani Hotel,"39, Pavazha Nagar, Villianur Main Road, Villianur, Puducherry",Villianur,11.93149444,79.80229933,Biryani,200,0,Not rated,3,0,3,0
3701053,Sri Krishna Hotel,"43, Villianur Main Road, Pudhucherry",Villianur,11.93144983,79.80256855,South Indian,250,0,Not rated,0,0,0,0
3700152,Sai Prabhu Hotel,"338, Villianur Main Road, Nellithopu, Villianur, Puducherry",Villianur,11.931476,79.802642,"South Indian, Street Food",100,0,Not rated,0,0,0,0
19488380,CoolCat Pure Veg - Reddiyarpalayam,"25, Villianur Road, Victoria Nagar, Villianur, Puducherry",Villianur,11.931507,79.803912,"South Indian, Chinese, Beverages",200,0,Not rated,0,0,0,0
3701066,Aarya Coffee Bar,"10, Vivekanda Nagar, Villianur Main Road, Villianur",Villianur,11.93178016,79.80426472,"Beverages, Juices",200,0,Not rated,0,0,2,0
3700133,Bismilla,"20-25, Lawspet Main Road, Pettichettypettai, Lawspet, Puducherry",Lawspet,11.95685641,79.82136883,Fast Food,150,0,Not rated,0,0,2,0
19483146,Hotel Arun,"11, Airport Main Road, Pakkamudanpet, Lawspet, Puducherry",Lawspet,11.955788,79.818087,"Chinese, South Indian",250,0,Not rated,0,0,0,0
19153746,Three Kings Food Court - Mumbai Kulfi,"9 & 10, Om Shakthi Avenue, Karuvadikuppam Main Road, Kottukuppam, Puducherry",Kottukuppam,11.95555357,79.82738605,"Desserts, Ice Cream",300,0,Not rated,9,2,0,1
3700124,JM Hotel,"Lawspet Main Road, Lawspet, Puducherry",Lawspet,11.95426944,79.81801667,South Indian,150,0,Not rated,0,0,3,0
